contract_type,job_type,location,salary,title,url
Permanent,full-time,Glasgow, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51853182?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Permanent,full-time,Loughborough,Competitive salary,Risk Data Analyst,/jobs/risk-data-analyst/52190438?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Contract,full-time,Netherlands,€95 - €110 per hour,Data Governance Analyst,/jobs/data-governance-analyst/52168319?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Permanent,full-time,Leicester, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51854341?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Permanent,full-time,York, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/52027784?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Permanent,full-time,Bournemouth, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/52027243?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Permanent,full-time,Oxford, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/52014010?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Permanent,full-time,Walsall, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/52007892?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Permanent,full-time,Wigan, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/52007830?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Permanent,full-time,Ipswich, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/52007594?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Permanent,full-time,Newcastle Upon Tyne, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/52000871?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Permanent,full-time,Dudley, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51996554?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Permanent,full-time,"Sutton, Macclesfield", Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51996528?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Permanent,full-time,Sunderland,"£40,000 - £47,000 per annum",Data Protection Analyst,/jobs/data-protection-analyst/52139632?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Permanent,full-time,Loughborough,Competitive salary,Risk Data Analyst,/jobs/risk-data-analyst/52190438?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Permanent,full-time,London,"£40,000 - £50,000 per annum",Data Quality Analyst,/jobs/data-quality-analyst/52206043?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Contract,full-time,Netherlands,€95 - €110 per hour,Data Governance Analyst,/jobs/data-governance-analyst/52168319?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Contract,full-time,City of London,£450 - £500 per day,Data Governance Analyst,/jobs/data-governance-analyst/52118785?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Temporary,full-time,Manchester,£18.10 per hour,IT Data Analyst,/jobs/it-data-analyst/52212140?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Permanent,full-time,City of London,"£42,000 - £45,000 per annum, inc benefits, pro-rata",Digital Data Analyst,/jobs/digital-data-analyst/52046551?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Contract,full-time,London,£350 - £400 per day,Data Management / Data Governance Analyst,/jobs/data-management-data-governance-analyst/52087124?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Permanent,full-time,Gaydon,"£55,000 - £62,000 per annum",Supply Chain Data Analyst ,/jobs/supply-chain-data-analyst/52125427?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Permanent,full-time,Gaydon,Competitive salary,Supply Chain Data Analyst,/jobs/supply-chain-data-analyst/52125439?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Temporary,full-time,London,Salary negotiable,Financial Data Analyst - Analyst Recommendations,/jobs/financial-data-analyst-analyst-recommendations/52155509?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Contract,full-time,Newbury,"£34,000 per annum",Web Scraping Data Analyst,/jobs/web-scraping-data-analyst/52229750?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Permanent,full-time,Ipswich,Salary negotiable,Waste and ESG data analyst,/jobs/waste-and-esg-data-analyst/52107000?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Contract,full-time,South West England,£36 - £450 per day,Data Analyst,/jobs/data-analyst/52118125?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
Permanent,full-time,Wisbech,"£28,000 - £35,000 per annum",Data Analyst Maintenance Performance,/jobs/data-analyst-maintenance-performance/52164146?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Contract,full-time,Netherlands,€95 - €110 per hour,Data Governance Analyst,/jobs/data-governance-analyst/52168319?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,Loughborough,Competitive salary,Risk Data Analyst,/jobs/risk-data-analyst/52190438?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Contract,full-time,Manchester,£350 - £450 per day,Data Analyst,/jobs/data-analyst/52125679?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,Reading,"£30,000 - £35,000 per annum",Data Analyst,/jobs/data-analyst/52176937?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,Birmingham,"£30,000 - £40,000 per annum",Data Analyst ,/jobs/data-analyst/52207081?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,Blackburn,"£35,000 - £40,000 per annum",Data Analyst,/jobs/data-analyst/52205852?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,Stourport-on-Severn,"£30,000 - £35,000 per annum",Data Analyst,/jobs/data-analyst/52142272?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
Permanent,full-time,London,"£70,000 - £75,000 per annum",Senior Data Governance Analyst Banking ,/jobs/senior-data-governance-analyst-banking/52110236?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5
